Product_Identifier,Supermarket_Identifier,Product_Supermarket_Identifier,Product_Weight,Product_Fat_Content,Product_Shelf_Visibility,Product_Type,Product_Price,Supermarket_Opening_Year,Supermarket _Size,Supermarket_Location_Type,Supermarket_Type,Product_Supermarket_Sales
FDX43,CHUKWUDI046,FDX43_CHUKWUDI046,5.655,Ultra Low fat,0.08527498800000001,Fruits and Vegetables,412.63,2004,Small,Cluster 1,Supermarket Type1,5825.75
FDL34,CHUKWUDI046,FDL34_CHUKWUDI046,16.0,Low Fat,0.040945898,Snack Foods,357.87,2004,Small,Cluster 1,Supermarket Type1,5645.98
FDN56,CHUKWUDI027,FDN56_CHUKWUDI027,,Normal Fat,0.106538757,Fruits and Vegetables,363.7,1992,Medium,Cluster 3,Supermarket Type3,14447.86
NCO18,CHUKWUDI017,NCO18_CHUKWUDI017,13.15,Low Fat,0.024790707000000002,Household,443.92,2014,,Cluster 2,Supermarket Type1,9777.27
FDB40,CHUKWUDI010,FDB40_CHUKWUDI010,17.5,Normal Fat,0.012620221000000001,Dairy,362.03,2005,,Cluster 3,Grocery Store,729.05
FDO13,CHUKWUDI017,FDO13_CHUKWUDI017,7.865,Low Fat,0.061405050999999995,Breakfast,415.88,2014,,Cluster 2,Supermarket Type1,4933.58
FDZ43,CHUKWUDI027,FDZ43_CHUKWUDI027,,Normal Fat,0.056782237,Fruits and Vegetables,603.13,1992,Medium,Cluster 3,Supermarket Type3,20599.85
FDX56,CHUKWUDI018,FDX56_CHUKWUDI018,17.1,Normal Fat,0.07436116,Fruits and Vegetables,515.41,2016,Medium,Cluster 3,Supermarket Type2,10353.19
FDQ28,CHUKWUDI013,FDQ28_CHUKWUDI013,14.0,Normal Fat,0.06037677599999999,Frozen Foods,386.41,1994,High,Cluster 3,Supermarket Type1,6178.62
FDQ58,CHUKWUDI035,FDQ58_CHUKWUDI035,7.315,Low Fat,0.0,Snack Foods,384.34,2011,Small,Cluster 2,Supermarket Type1,6891.03
FDQ40,CHUKWUDI049,FDQ40_CHUKWUDI049,11.1,Normal Fat,0.036083537,Frozen Foods,438.68,2006,Medium,Cluster 1,Supermarket Type1,7470.28
FDM13,CHUKWUDI010,FDM13_CHUKWUDI010,6.425,Low Fat,0.10574254400000001,Breakfast,326.41,2005,,Cluster 3,Grocery Store,327.91
DRI47,CHUKWUDI046,DRI47_CHUKWUDI046,14.7,Low Fat,0.020920179,Hard Drinks,359.53,2004,Small,Cluster 1,Supermarket Type1,7550.17
FDB44,CHUKWUDI027,FDB44_CHUKWUDI027,,Low Fat,0.016876708,Fruits and Vegetables,525.15,1992,Medium,Cluster 3,Supermarket Type3,17412.33
FDQ52,CHUKWUDI017,FDQ52_CHUKWUDI017,17.0,Low Fat,0.12006027400000001,Frozen Foods,616.36,2014,,Cluster 2,Supermarket Type1,11175.45
FDN34,CHUKWUDI049,FDN34_CHUKWUDI049,15.6,Normal Fat,0.045835395,Snack Foods,420.53,2006,Medium,Cluster 1,Supermarket Type1,5918.96
NCB54,CHUKWUDI049,NCB54_CHUKWUDI049,8.76,Low Fat,0.05013052900000001,Health and Hygiene,320.83,2006,Medium,Cluster 1,Supermarket Type1,6391.68
FDG35,CHUKWUDI046,FDG35_CHUKWUDI046,21.2,Normal Fat,0.00704098,Starchy Foods,433.93,2004,Small,Cluster 1,Supermarket Type1,7385.39
FDW39,CHUKWUDI019,FDW39_CHUKWUDI019,,Normal Fat,0.064625342,Meat,442.34,1992,Small,Cluster 1,Grocery Store,441.09
NCZ30,CHUKWUDI013,NCZ30_CHUKWUDI013,6.59,Low Fat,0.026163192000000002,Household,303.77,1994,High,Cluster 3,Supermarket Type1,1506.37
NCR38,CHUKWUDI045,NCR38_CHUKWUDI045,17.25,Low Fat,0.113748685,Household,628.43,2009,,Cluster 2,Supermarket Type1,16987.89
FDN33,CHUKWUDI049,FDN33_CHUKWUDI049,6.305,Normal Fat,0.12330717699999999,Snack Foods,233.86,2006,Medium,Cluster 1,Supermarket Type1,709.08
FDR47,CHUKWUDI018,FDR47_CHUKWUDI018,17.85,Low Fat,0.08782496699999999,Breads,490.2,2016,Medium,Cluster 3,Supermarket Type2,4389.29
FDY47,CHUKWUDI013,FDY47_CHUKWUDI013,8.6,Normal Fat,0.05443912,Breads,322.08,1994,High,Cluster 3,Supermarket Type1,2596.62
FDS12,CHUKWUDI013,FDS12_CHUKWUDI013,9.1,Low Fat,0.173973652,Baking Goods,316.34,1994,High,Cluster 3,Supermarket Type1,4404.27
FDS45,CHUKWUDI010,FDS45_CHUKWUDI010,5.175,Normal Fat,0.04937018,Snack Foods,266.91,2005,,Cluster 3,Grocery Store,529.31
FDV57,CHUKWUDI017,FDV57_CHUKWUDI017,15.25,Normal Fat,0.066269294,Snack Foods,449.17,2014,,Cluster 2,Supermarket Type1,16178.94
FDT58,CHUKWUDI017,FDT58_CHUKWUDI017,9.0,Low Fat,0.086440911,Snack Foods,417.7,2014,,Cluster 2,Supermarket Type1,3355.63
FDC17,CHUKWUDI027,FDC17_CHUKWUDI027,,Low Fat,0.015385857,Frozen Foods,522.48,1992,Medium,Cluster 3,Supermarket Type3,24195.17
NCC42,CHUKWUDI049,NCC42_CHUKWUDI049,15.0,Low Fat,0.044978225,Health and Hygiene,352.21,2006,Medium,Cluster 1,Supermarket Type1,5619.35
FDY37,CHUKWUDI045,FDY37_CHUKWUDI045,17.0,Normal Fat,0.026622757,Canned,360.62,2009,,Cluster 2,Supermarket Type1,7873.09
FDU48,CHUKWUDI035,FDU48_CHUKWUDI035,18.85,Low Fat,0.055347985,Baking Goods,328.82,2011,Small,Cluster 2,Supermarket Type1,3954.85
DRA24,CHUKWUDI017,DRA24_CHUKWUDI017,19.35,Normal Fat,0.040154087000000005,Soft Drinks,411.72,2014,,Cluster 2,Supermarket Type1,2866.27
NCD18,CHUKWUDI035,NCD18_CHUKWUDI035,16.0,Low Fat,0.072655379,Household,574.67,2011,Small,Cluster 2,Supermarket Type1,12094.26
FDD56,CHUKWUDI045,FDD56_CHUKWUDI045,15.2,Normal Fat,0.103988736,Fruits and Vegetables,442.51,2009,,Cluster 2,Supermarket Type1,9193.03
NCN42,CHUKWUDI045,NCN42_CHUKWUDI045,20.25,Low Fat,0.014251461000000002,Household,371.6,2009,,Cluster 2,Supermarket Type1,6621.38
FDO36,CHUKWUDI027,FDO36_CHUKWUDI027,,Low Fat,0.07753654,Baking Goods,452.17,1992,Medium,Cluster 3,Supermarket Type3,8089.47
NCJ54,CHUKWUDI035,NCJ54_CHUKWUDI035,9.895,Low Fat,0.060055757,Household,585.66,2011,Small,Cluster 2,Supermarket Type1,9294.57
FDM46,CHUKWUDI046,FDM46_CHUKWUDI046,7.365,Low Fat,0.159967845,Snack Foods,236.78,2004,Small,Cluster 1,Supermarket Type1,3262.42
FDD40,CHUKWUDI027,FDD40_CHUKWUDI027,,Normal Fat,0.014721719,Dairy,484.04,1992,Medium,Cluster 3,Supermarket Type3,12988.09
FDA36,CHUKWUDI045,FDA36_CHUKWUDI045,5.985,Low Fat,0.005677876,Baking Goods,462.23,2009,,Cluster 2,Supermarket Type1,4164.58
NCO07,CHUKWUDI018,NCO07_CHUKWUDI018,9.06,Low Fat,0.009816092,Others,529.64,2016,Medium,Cluster 3,Supermarket Type2,9054.88
FDN45,CHUKWUDI027,FDN45_CHUKWUDI027,,Low Fat,0.11753085099999999,Snack Foods,556.77,1992,Medium,Cluster 3,Supermarket Type3,10066.9
DRG36,CHUKWUDI035,DRG36_CHUKWUDI035,14.15,Ultra Low fat,0.095360186,Soft Drinks,430.78,2011,Small,Cluster 2,Supermarket Type1,8127.75
FDJ02,CHUKWUDI049,FDJ02_CHUKWUDI049,17.2,Normal Fat,0.025205909,Canned,372.85,2006,Medium,Cluster 1,Supermarket Type1,2942.84
FDX21,CHUKWUDI018,FDX21_CHUKWUDI018,7.05,Low Fat,0.085312137,Snack Foods,268.73,2016,Medium,Cluster 3,Supermarket Type2,2456.8
DRE25,CHUKWUDI046,DRE25_CHUKWUDI046,15.35,Low Fat,0.073283193,Soft Drinks,229.53,2004,Small,Cluster 1,Supermarket Type1,4427.57
NCZ41,CHUKWUDI017,NCZ41_CHUKWUDI017,19.85,Low Fat,0.06478563,Health and Hygiene,309.43,2014,,Cluster 2,Supermarket Type1,6258.52
FDA51,CHUKWUDI046,FDA51_CHUKWUDI046,8.05,Normal Fat,0.16467959699999998,Dairy,280.38,2004,Small,Cluster 1,Supermarket Type1,3130.92
FDJ52,CHUKWUDI017,FDJ52_CHUKWUDI017,7.145,Low Fat,0.017887474,Frozen Foods,401.64,2014,,Cluster 2,Supermarket Type1,4412.59
FDE26,CHUKWUDI046,FDE26_CHUKWUDI046,9.3,Low Fat,0.089005769,Canned,359.95,2004,Small,Cluster 1,Supermarket Type1,6862.73
FDS55,CHUKWUDI017,FDS55_CHUKWUDI017,7.02,Low Fat,0.081623275,Fruits and Vegetables,370.18,2014,,Cluster 2,Supermarket Type1,4825.39
FDZ23,CHUKWUDI035,FDZ23_CHUKWUDI035,17.75,Normal Fat,0.06749003599999999,Baking Goods,463.06,2011,Small,Cluster 2,Supermarket Type1,15846.04
FDU21,CHUKWUDI013,FDU21_CHUKWUDI013,11.8,Normal Fat,0.07665661,Snack Foods,80.89,1994,High,Cluster 3,Supermarket Type1,424.45
FDR58,CHUKWUDI046,FDR58_CHUKWUDI046,6.675,Low Fat,0.041921462,Snack Foods,230.87,2004,Small,Cluster 1,Supermarket Type1,6015.5
FDM15,CHUKWUDI046,FDM15_CHUKWUDI046,11.8,Normal Fat,0.057421582,Meat,374.84,2004,Small,Cluster 1,Supermarket Type1,4156.26
FDC21,CHUKWUDI010,FDC21_CHUKWUDI010,14.6,Normal Fat,0.071904258,Fruits and Vegetables,267.06,2005,,Cluster 3,Grocery Store,271.31
FDL14,CHUKWUDI046,FDL14_CHUKWUDI046,8.115,Normal Fat,0.032158866,Canned,387.24,2004,Small,Cluster 1,Supermarket Type1,4284.42
NCL54,CHUKWUDI027,NCL54_CHUKWUDI027,,Low Fat,0.082353076,Household,442.26,1992,Medium,Cluster 3,Supermarket Type3,10506.32
FDS58,CHUKWUDI045,FDS58_CHUKWUDI045,9.285,Normal Fat,0.021049215,Snack Foods,402.64,2009,,Cluster 2,Supermarket Type1,6017.17
FDQ20,CHUKWUDI013,FDQ20_CHUKWUDI013,8.325,Low Fat,0.029760052000000002,Fruits and Vegetables,96.78,1994,High,Cluster 3,Supermarket Type1,710.74
FDR09,CHUKWUDI027,FDR09_CHUKWUDI027,,Low Fat,0.077348214,Snack Foods,649.49,1992,Medium,Cluster 3,Supermarket Type3,20072.21
NCI42,CHUKWUDI049,NCI42_CHUKWUDI049,18.75,Low Fat,0.010381661,Household,519.74,2006,Medium,Cluster 1,Supermarket Type1,5730.87
FDI04,CHUKWUDI019,FDI04_CHUKWUDI019,,Normal Fat,0.127660257,Frozen Foods,496.36,1992,Small,Cluster 1,Grocery Store,1977.43
DRH25,CHUKWUDI013,DRH25_CHUKWUDI013,18.7,Low Fat,0.014580886000000001,Soft Drinks,125.58,1994,High,Cluster 3,Supermarket Type1,1557.97
NCN17,CHUKWUDI013,NCN17_CHUKWUDI013,11.0,Low Fat,0.05489331,Health and Hygiene,254.84,1994,High,Cluster 3,Supermarket Type1,2764.73
FDH50,CHUKWUDI035,FDH50_CHUKWUDI035,15.0,Normal Fat,0.161404914,Canned,464.57,2011,Small,Cluster 2,Supermarket Type1,4610.67
DRH59,CHUKWUDI010,DRH59_CHUKWUDI010,10.8,Ultra Low fat,0.097805615,Hard Drinks,184.85,2005,,Cluster 3,Grocery Store,183.1
FDI50,CHUKWUDI027,FDI50_CHUKWUDI027,,Normal Fat,0.030693309,Canned,570.09,1992,Medium,Cluster 3,Supermarket Type3,25766.46
FDV35,CHUKWUDI046,FDV35_CHUKWUDI046,19.5,Low Fat,0.12820600099999999,Breads,389.83,2004,Small,Cluster 1,Supermarket Type1,9695.71
NCN41,CHUKWUDI019,NCN41_CHUKWUDI019,,Low Fat,0.091411749,Health and Hygiene,303.43,1992,Small,Cluster 1,Grocery Store,923.8
NCJ31,CHUKWUDI017,NCJ31_CHUKWUDI017,19.2,Low Fat,0.183686937,Others,604.55,2014,,Cluster 2,Supermarket Type1,4217.84
NCU18,CHUKWUDI035,NCU18_CHUKWUDI035,15.1,Low Fat,0.055829496,Household,350.62,2011,Small,Cluster 2,Supermarket Type1,6704.61
NCY18,CHUKWUDI018,NCY18_CHUKWUDI018,7.285,Low Fat,0.031278532000000005,Household,440.01,2016,Medium,Cluster 3,Supermarket Type2,6566.45
FDX38,CHUKWUDI013,FDX38_CHUKWUDI013,10.5,Normal Fat,0.048166900000000006,Dairy,122.09,1994,High,Cluster 3,Supermarket Type1,1677.82
FDX35,CHUKWUDI045,FDX35_CHUKWUDI045,5.035,Normal Fat,0.08007260299999999,Breads,570.51,2009,,Cluster 2,Supermarket Type1,6261.85
FDR22,CHUKWUDI018,FDR22_CHUKWUDI018,19.35,Normal Fat,0.01863822,Snack Foods,275.64,2016,Medium,Cluster 3,Supermarket Type2,4194.54
FDO13,CHUKWUDI019,FDO13_CHUKWUDI019,,Low Fat,0.106907604,Breakfast,407.13,1992,Small,Cluster 1,Grocery Store,1233.39
FDR57,CHUKWUDI035,FDR57_CHUKWUDI035,5.675,Normal Fat,0.023492524,Snack Foods,388.82,2011,Small,Cluster 2,Supermarket Type1,3535.4
FDU27,CHUKWUDI013,FDU27_CHUKWUDI013,18.6,Normal Fat,0.17133418,Meat,122.09,1994,High,Cluster 3,Supermarket Type1,719.06
FDW40,CHUKWUDI046,FDW40_CHUKWUDI046,14.0,Normal Fat,0.105145451,Frozen Foods,360.7,2004,Small,Cluster 1,Supermarket Type1,12110.9
FDR45,CHUKWUDI017,FDR45_CHUKWUDI017,10.8,Low Fat,0.029107004,Snack Foods,601.31,2014,,Cluster 2,Supermarket Type1,11353.55
NCF42,CHUKWUDI045,NCF42_CHUKWUDI045,17.35,Low Fat,0.16772251900000001,Household,440.93,2009,,Cluster 2,Supermarket Type1,2636.57
DRF01,CHUKWUDI035,DRF01_CHUKWUDI035,5.655,Ultra Low fat,0.17504710399999998,Soft Drinks,367.28,2011,Small,Cluster 2,Supermarket Type1,4738.83
DRC27,CHUKWUDI035,DRC27_CHUKWUDI035,13.8,Low Fat,0.058091482,Dairy,612.95,2011,Small,Cluster 2,Supermarket Type1,14126.61
FDM09,CHUKWUDI046,FDM09_CHUKWUDI046,11.15,Normal Fat,0.085931544,Snack Foods,424.2,2004,Small,Cluster 1,Supermarket Type1,2546.69
DRM37,CHUKWUDI019,DRM37_CHUKWUDI019,,Ultra Low fat,0.168780127,Soft Drinks,494.69,1992,Small,Cluster 1,Grocery Store,492.69
FDK27,CHUKWUDI049,FDK27_CHUKWUDI049,11.0,Low Fat,0.008960445,Meat,297.94,2006,Medium,Cluster 1,Supermarket Type1,4241.15
FDG34,CHUKWUDI018,FDG34_CHUKWUDI018,11.5,Normal Fat,0.037723476,Snack Foods,273.81,2016,Medium,Cluster 3,Supermarket Type2,4883.64
FDQ47,CHUKWUDI010,FDQ47_CHUKWUDI010,7.155,Normal Fat,0.28150951399999996,Breads,84.72,2005,,Cluster 3,Grocery Store,88.22
FDV39,CHUKWUDI035,FDV39_CHUKWUDI035,11.3,Low Fat,0.007278511999999999,Meat,491.86,2011,Small,Cluster 2,Supermarket Type1,6920.99
FDG53,CHUKWUDI049,FDG53_CHUKWUDI049,10.0,Low Fat,0.045928229,Frozen Foods,345.3,2006,Medium,Cluster 1,Supermarket Type1,4893.63
FDL26,CHUKWUDI017,FDL26_CHUKWUDI017,18.0,Low Fat,0.073606829,Canned,391.74,2014,,Cluster 2,Supermarket Type1,10516.31
FDR23,CHUKWUDI017,FDR23_CHUKWUDI017,15.85,Low Fat,0.0,Breads,436.84,2014,,Cluster 2,Supermarket Type1,7057.48
NCI06,CHUKWUDI045,NCI06_CHUKWUDI045,11.3,Low Fat,0.047814463,Household,448.17,2009,,Cluster 2,Supermarket Type1,12583.62
NCL29,CHUKWUDI010,NCL29_CHUKWUDI010,9.695,Low Fat,0.190711254,Health and Hygiene,397.9,2005,,Cluster 3,Grocery Store,1584.6
DRI51,CHUKWUDI017,DRI51_CHUKWUDI017,17.25,Low Fat,0.042480566,Dairy,433.69,2014,,Cluster 2,Supermarket Type1,6012.17
FDA50,CHUKWUDI049,FDA50_CHUKWUDI049,16.25,Low Fat,0.08731067199999999,Dairy,238.85,2006,Medium,Cluster 1,Supermarket Type1,3861.64
FDP34,CHUKWUDI046,FDP34_CHUKWUDI046,12.85,Low Fat,0.137227848,Snack Foods,388.91,2004,Small,Cluster 1,Supermarket Type1,10561.25
DRD27,CHUKWUDI049,DRD27_CHUKWUDI049,18.75,Low Fat,0.023876985,Dairy,243.51,2006,Medium,Cluster 1,Supermarket Type1,5704.24
FDJ22,CHUKWUDI017,FDJ22_CHUKWUDI017,18.75,Low Fat,0.05310896,Snack Foods,484.13,2014,,Cluster 2,Supermarket Type1,7190.64
FDS08,CHUKWUDI035,FDS08_CHUKWUDI035,5.735,Low Fat,0.05695045,Fruits and Vegetables,444.84,2011,Small,Cluster 2,Supermarket Type1,3969.83
FDN39,CHUKWUDI046,FDN39_CHUKWUDI046,19.35,Normal Fat,0.065520388,Meat,420.95,2004,Small,Cluster 1,Supermarket Type1,3355.63
FDU20,CHUKWUDI019,FDU20_CHUKWUDI019,,Normal Fat,0.037569401,Fruits and Vegetables,301.77,1992,Small,Cluster 1,Grocery Store,903.82
FDW09,CHUKWUDI010,FDW09_CHUKWUDI010,13.65,Normal Fat,0.043386130999999994,Snack Foods,200.58,2005,,Cluster 3,Grocery Store,198.08
FDW55,CHUKWUDI027,FDW55_CHUKWUDI027,,Normal Fat,0.021863506,Fruits and Vegetables,617.52,1992,Medium,Cluster 3,Supermarket Type3,13695.51
FDA19,CHUKWUDI046,FDA19_CHUKWUDI046,7.52,Low Fat,0.055127499,Fruits and Vegetables,320.75,2004,Small,Cluster 1,Supermarket Type1,9958.7
DRL23,CHUKWUDI049,DRL23_CHUKWUDI049,18.35,Low Fat,0.015328106000000001,Hard Drinks,268.98,2006,Medium,Cluster 1,Supermarket Type1,4555.74
NCZ53,CHUKWUDI018,NCZ53_CHUKWUDI018,9.6,Low Fat,0.024576875,Health and Hygiene,466.55,2016,Medium,Cluster 3,Supermarket Type2,4710.54
FDR49,CHUKWUDI013,FDR49_CHUKWUDI013,8.71,Low Fat,0.0,Canned,116.34,1994,High,Cluster 3,Supermarket Type1,1438.13
FDB60,CHUKWUDI018,FDB60_CHUKWUDI018,9.3,Low Fat,0.028638276,Baking Goods,489.53,2016,Medium,Cluster 3,Supermarket Type2,5346.37
FDB03,CHUKWUDI035,FDB03_CHUKWUDI035,17.75,Normal Fat,0.156802171,Dairy,605.38,2011,Small,Cluster 2,Supermarket Type1,10815.92
FDU55,CHUKWUDI045,FDU55_CHUKWUDI045,16.2,Low Fat,0.035984103999999996,Fruits and Vegetables,651.57,2009,,Cluster 2,Supermarket Type1,11063.93
NCN19,CHUKWUDI046,NCN19_CHUKWUDI046,13.1,Low Fat,0.0,Others,473.13,2004,Small,Cluster 1,Supermarket Type1,3795.06
FDW03,CHUKWUDI049,FDW03_CHUKWUDI049,5.63,Normal Fat,0.024579432000000002,Meat,263.33,2006,Medium,Cluster 1,Supermarket Type1,2613.27
DRE60,CHUKWUDI049,DRE60_CHUKWUDI049,9.395,Low Fat,0.159582185,Soft Drinks,561.93,2006,Medium,Cluster 1,Supermarket Type1,17543.83
NCF31,CHUKWUDI049,NCF31_CHUKWUDI049,9.13,Low Fat,0.051928034000000005,Household,378.51,2006,Medium,Cluster 1,Supermarket Type1,4933.58
FDF44,CHUKWUDI018,FDF44_CHUKWUDI018,7.17,Normal Fat,0.05997133,Fruits and Vegetables,330.49,2016,Medium,Cluster 3,Supermarket Type2,7177.32
FDX08,CHUKWUDI049,FDX08_CHUKWUDI049,12.85,Low Fat,0.022639195,Fruits and Vegetables,449.33,2006,Medium,Cluster 1,Supermarket Type1,5412.95
FDC50,CHUKWUDI046,FDC50_CHUKWUDI046,15.85,Low Fat,0.136497913,Canned,240.77,2004,Small,Cluster 1,Supermarket Type1,7140.71
FDX25,CHUKWUDI027,FDX25_CHUKWUDI027,,Low Fat,0.101561568,Canned,454.82,1992,Medium,Cluster 3,Supermarket Type3,7753.24
DRL60,CHUKWUDI049,DRL60_CHUKWUDI049,8.52,Low Fat,0.027101431000000002,Soft Drinks,379.42,2006,Medium,Cluster 1,Supermarket Type1,6098.73
FDM58,CHUKWUDI046,FDM58_CHUKWUDI046,16.85,Normal Fat,0.07969040299999999,Snack Foods,283.64,2004,Small,Cluster 1,Supermarket Type1,7270.54
DRJ59,CHUKWUDI013,DRJ59_CHUKWUDI013,11.65,Low Fat,0.019356131999999998,Hard Drinks,97.79,1994,High,Cluster 3,Supermarket Type1,772.33
FDI34,CHUKWUDI017,FDI34_CHUKWUDI017,10.65,Normal Fat,0.08561751699999999,Snack Foods,573.42,2014,,Cluster 2,Supermarket Type1,5759.17
FDE22,CHUKWUDI019,FDE22_CHUKWUDI019,,Low Fat,0.051778173,Snack Foods,394.73,1992,Small,Cluster 1,Grocery Store,798.96
FDY15,CHUKWUDI049,FDY15_CHUKWUDI049,18.25,Normal Fat,0.171093639,Dairy,389.16,2006,Medium,Cluster 1,Supermarket Type1,5085.05
NCQ42,CHUKWUDI018,NCQ42_CHUKWUDI018,20.35,Low Fat,0.039428167,Household,319.92,2016,Medium,Cluster 3,Supermarket Type2,8901.75
FDR55,CHUKWUDI035,FDR55_CHUKWUDI035,12.15,Normal Fat,0.132058566,Fruits and Vegetables,468.97,2011,Small,Cluster 2,Supermarket Type1,10872.51
FDE46,CHUKWUDI013,FDE46_CHUKWUDI013,18.6,Low Fat,0.01575657,Snack Foods,382.84,1994,High,Cluster 3,Supermarket Type1,7934.67
FDV45,CHUKWUDI045,FDV45_CHUKWUDI045,16.75,Low Fat,0.045138797,Snack Foods,469.89,2009,,Cluster 2,Supermarket Type1,7040.84
FDB37,CHUKWUDI027,FDB37_CHUKWUDI027,,Normal Fat,0.022829733999999997,Baking Goods,602.63,1992,Medium,Cluster 3,Supermarket Type3,11416.81
FDW50,CHUKWUDI049,FDW50_CHUKWUDI049,13.1,Low Fat,0.075695552,Dairy,421.04,2006,Medium,Cluster 1,Supermarket Type1,3760.11
FDQ32,CHUKWUDI046,FDQ32_CHUKWUDI046,17.85,Normal Fat,0.046608497,Fruits and Vegetables,307.35,2004,Small,Cluster 1,Supermarket Type1,7739.93
DRH03,CHUKWUDI046,DRH03_CHUKWUDI046,17.25,Low Fat,0.035064318,Dairy,231.03,2004,Small,Cluster 1,Supermarket Type1,3262.42
FDV19,CHUKWUDI013,FDV19_CHUKWUDI013,14.85,Normal Fat,0.035227697,Fruits and Vegetables,398.89,1994,High,Cluster 3,Supermarket Type1,5214.88
FDU58,CHUKWUDI045,FDU58_CHUKWUDI045,6.61,Normal Fat,0.0,Snack Foods,466.22,2009,,Cluster 2,Supermarket Type1,7483.59
NCL31,CHUKWUDI049,NCL31_CHUKWUDI049,7.39,Ultra Low fat,0.12046799400000001,Others,362.87,2006,Medium,Cluster 1,Supermarket Type1,13241.1
FDN21,CHUKWUDI049,FDN21_CHUKWUDI049,18.6,Low Fat,0.076975118,Snack Foods,404.56,2006,Medium,Cluster 1,Supermarket Type1,4028.09
